clientname,Time cost,Average memory,Number of runs,Average reward

sogbtraffic_inst_mdp__01,8942,36.432848,1,-4.0
sogbtraffic_inst_mdp__01,792,36.48992,1,0.0
sogbtraffic_inst_mdp__01,2691,18.144272,2,-8.0
sogbtraffic_inst_mdp__01,114270,18.230616,2,0.0
sogbtraffic_inst_mdp__01,114221,18.240852,2,0.0


sogbtraffic_inst_mdp__01,1227,12.183616,3,0.0
sogbtraffic_inst_mdp__01,400892,118.7794352,10,-3.8
sogbacademic-advising_inst_mdp__02,949730,181.29900320000002,10,-71.0


sogbacademic-advising_inst_mdp__01,387177,151.74878159999997,10,-50.5
sogbacademic-advising_inst_mdp__02,386660,170.08823359999997,10,-66.0
sogbacademic-advising_inst_mdp__03,386738,207.6779176,10,-37.5
sogbacademic-advising_inst_mdp__04,387047,109.92412159999999,10,-59.2
sogbacademic-advising_inst_mdp__05,387003,124.41996559999998,10,-100.0
sogbacademic-advising_inst_mdp__06,581079,145.2893896,10,-80.5
sogbacademic-advising_inst_mdp__07,581698,125.3290784,10,-150.0
sogbacademic-advising_inst_mdp__08,581986,94.4370064,10,-150.0
sogbacademic-advising_inst_mdp__09,581567,211.4448112,10,-93.5
sogbacademic-advising_inst_mdp__10,582354,103.84006,10,-150.0
sogbacademic-advising_inst_mdp__11,776029,103.48471679999997,10,-200.0
sogbacademic-advising_inst_mdp__12,776666,165.2790144,10,-200.0
sogbacademic-advising_inst_mdp__13,776376,106.1179688,10,-200.0
sogbacademic-advising_inst_mdp__14,777221,168.932392,10,-200.0
sogbacademic-advising_inst_mdp__15,779316,210.459136,10,-200.0
sogbacademic-advising_inst_mdp__16,972173,197.875696,10,-250.0
sogbacademic-advising_inst_mdp__17,993974,172.1103888,10,-250.0
sogbacademic-advising_inst_mdp__18,993152,247.97142720000002,10,-250.0
sogbacademic-advising_inst_mdp__19,975308,217.05376720000004,10,-250.0
sogbacademic-advising_inst_mdp__20,976296,155.717892,10,-250.0
sogbchromatic-dice_inst_mdp__01,609824,119.03300879999999,10,52.9
sogbchromatic-dice_inst_mdp__03,1000636,148.62615999999997,10,136.7
sogbchromatic-dice_inst_mdp__04,1233848,141.1465264,10,260.2
sogbchromatic-dice_inst_mdp__05,767986,188.4971152,10,120.5
sogbchromatic-dice_inst_mdp__06,1390455,186.3742712,10,326.5
sogbchromatic-dice_inst_mdp__07,1700222,197.13695919999998,10,403.8
sogbchromatic-dice_inst_mdp__08,845876,157.4532344,10,114.8
sogbchromatic-dice_inst_mdp__09,1464766,211.6081576,10,327.9
sogbchromatic-dice_inst_mdp__10,1778873,175.1644928,10,391.4
sogbchromatic-dice_inst_mdp__11,924133,127.17743680000001,10,115.2
sogbchromatic-dice_inst_mdp__12,1856221,181.6353752,10,389.8
sogbchromatic-dice_inst_mdp__13,1003320,166.7368184,10,127.8
sogbchromatic-dice_inst_mdp__14,1388818,143.20474719999999,10,187.2
sogbchromatic-dice_inst_mdp__15,2011392,225.6987208,10,412.6
sogbchromatic-dice_inst_mdp__16,2010165,250.5344104,10,452.6
sogbchromatic-dice_inst_mdp__17,2011965,188.9253368,10,424.2
sogbchromatic-dice_inst_mdp__18,2011161,159.3416376,10,477.0
sogbchromatic-dice_inst_mdp__19,2011078,190.7583384,10,446.9
sogbchromatic-dice_inst_mdp__20,2011077,212.09638639999997,10,494.5
sogbcooperative-recon_inst_mdp__01,581431,122.23385599999999,10,8.028
sogbcooperative-recon_inst_mdp__02,581374,189.5161608,10,6.618
sogbcooperative-recon_inst_mdp__03,581401,157.9541936,10,4.572
sogbcooperative-recon_inst_mdp__04,581878,182.4772536,10,9.928
sogbcooperative-recon_inst_mdp__05,776049,116.33650239999997,10,5.144
sogbcooperative-recon_inst_mdp__06,775973,159.2499992,10,6.75
sogbcooperative-recon_inst_mdp__07,777599,203.92668480000003,10,14.292999999999997
sogbcooperative-recon_inst_mdp__08,970726,201.4699256,10,11.549000000000001
sogbcooperative-recon_inst_mdp__09,972725,232.96317520000002,10,6.151999999999999
sogbcooperative-recon_inst_mdp__10,986648,224.95168320000002,10,11.804
sogbcooperative-recon_inst_mdp__11,1180703,229.35378000000006,10,6.981
sogbcooperative-recon_inst_mdp__12,1182561,241.98473599999997,10,10.151
sogbcooperative-recon_inst_mdp__13,1241869,214.74619360000003,10,4.823
sogbcooperative-recon_inst_mdp__14,1378691,207.04972559999996,10,8.979
sogbcooperative-recon_inst_mdp__16,1620144,181.85321679999998,10,0.884
sogbcooperative-recon_inst_mdp__17,1846938,186.40578240000002,10,0.0
sogbcooperative-recon_inst_mdp__18,1758615,220.5868656,10,1.017
sogbcooperative-recon_inst_mdp__19,2431037,119.66048320000002,10,0.0
sogbcooperative-recon_inst_mdp__20,3169468,188.9442272,10,0.0
sogbearth-observation_inst_mdp__01,620101,106.98858,10,-9.7
sogbearth-observation_inst_mdp__02,776672,89.194616,10,-553.1
sogbearth-observation_inst_mdp__03,952346,116.33107200000002,10,-780.4
sogbearth-observation_inst_mdp__04,1249454,129.86991919999997,10,-1794.0
sogbearth-observation_inst_mdp__05,1571469,126.79758480000001,10,-773.5
sogbearth-observation_inst_mdp__06,620832,96.17593199999999,10,-277.9
sogbearth-observation_inst_mdp__07,778158,106.707612,10,-47.6
sogbearth-observation_inst_mdp__08,955552,114.1252688,10,-479.3
sogbearth-observation_inst_mdp__09,1251269,107.43221679999999,10,-1411.5
sogbearth-observation_inst_mdp__10,1575488,124.0225792,10,-3330.8
sogbearth-observation_inst_mdp__11,952977,100.883364,10,-875.7
sogbearth-observation_inst_mdp__12,1249144,121.87151119999999,10,-1796.0
sogbearth-observation_inst_mdp__13,1570095,101.52262000000002,10,-2016.9
sogbearth-observation_inst_mdp__14,1912822,142.71833279999996,10,-10729.3
sogbearth-observation_inst_mdp__15,2243278,118.726148,10,-3302.0
sogbearth-observation_inst_mdp__16,956592,128.6937336,10,-375.6
sogbearth-observation_inst_mdp__17,1252281,96.79689280000001,10,-1779.1
sogbearth-observation_inst_mdp__18,1577159,120.554044,10,-3152.6
sogbearth-observation_inst_mdp__19,1917438,148.72895599999998,10,-5346.0
sogbearth-observation_inst_mdp__20,2370587,132.5363416,10,-13576.6
sogbelevators_inst_mdp__01,774866,111.6844288,10,-67.9
sogbelevators_inst_mdp__02,775145,103.37348320000001,10,-28.75
sogbelevators_inst_mdp__03,775119,111.22692319999999,10,-70.65
sogbelevators_inst_mdp__04,774990,138.3022288,10,-84.475
sogbelevators_inst_mdp__05,775255,119.78807040000001,10,-77.325
sogbelevators_inst_mdp__06,775236,140.784484,10,-92.075
sogbelevators_inst_mdp__07,775035,104.1760704,10,-120.65
sogbelevators_inst_mdp__08,775316,111.1309512,10,-103.35
sogbelevators_inst_mdp__09,775254,103.6955816,10,-124.925
sogbelevators_inst_mdp__10,775120,102.1871376,10,-81.475
sogbelevators_inst_mdp__11,775480,103.65250800000001,10,-137.95
sogbelevators_inst_mdp__12,776001,134.66250159999998,10,-171.6
sogbelevators_inst_mdp__13,777535,171.4825792,10,-184.45
sogbelevators_inst_mdp__14,778309,167.5570424,10,-212.125
sogbelevators_inst_mdp__15,794615,164.5111528,10,-224.075
sogbelevators_inst_mdp__16,796967,163.01954559999996,10,-233.05
sogbelevators_inst_mdp__17,779770,161.73418479999998,10,-229.375
sogbelevators_inst_mdp__18,781657,212.6505608,10,-291.575
sogbelevators_inst_mdp__19,780420,224.51892319999996,10,-289.825
sogbelevators_inst_mdp__20,781900,183.64562080000002,10,-274.175
sogbmanufacturer_inst_mdp__01,618803,279.406628,10,76.50900000000001
sogbmanufacturer_inst_mdp__02,836979,262.23679039999996,10,305.08285
sogbmanufacturer_inst_mdp__03,868027,255.67688799999996,10,462.41730999999993
sogbmanufacturer_inst_mdp__04,839823,262.9003304,10,153.1388355
sogbmanufacturer_inst_mdp__05,874478,263.50413199999997,10,962.7616920000003
sogbmanufacturer_inst_mdp__06,835796,206.51150560000002,10,862.3014099999998
sogbmanufacturer_inst_mdp__07,866150,221.14226160000007,10,1017.73937
sogbmanufacturer_inst_mdp__08,839252,230.05891760000003,10,3471.150512999998
sogbmanufacturer_inst_mdp__09,873209,176.23193280000004,10,1615.804669
sogbmanufacturer_inst_mdp__10,1071133,185.01523279999998,10,-853.5462600000001
sogbmanufacturer_inst_mdp__11,1377793,248.09208239999998,10,-41.06667
sogbmanufacturer_inst_mdp__12,1398663,267.0569632,10,4421.63229
sogbmanufacturer_inst_mdp__13,1120732,237.8793968,10,1065.109652
sogbmanufacturer_inst_mdp__14,1607809,232.9258048,10,-39.74993
sogbmanufacturer_inst_mdp__15,1976373,246.330816,10,-18.1
sogbmanufacturer_inst_mdp__16,6175615,297.0225296,10,-760.8807399999998
sogbmanufacturer_inst_mdp__17,5130151,225.7913152,10,-837.46574
sogbmanufacturer_inst_mdp__18,15478614,301.6120488,10,-1213.57746
sogbmanufacturer_inst_mdp__19,5182402,258.37072079999996,10,-398.4
sogbmanufacturer_inst_mdp__20,4746912,287.18195760000003,10,-1101.70018
sogbpush-your-luck_inst_mdp__01,859892,98.96731199999999,10,41.6
sogbpush-your-luck_inst_mdp__02,847356,100.7737896,10,46.2
sogbpush-your-luck_inst_mdp__03,823822,118.46903999999999,10,34.8
sogbpush-your-luck_inst_mdp__04,880493,127.303776,10,42.075
sogbpush-your-luck_inst_mdp__05,886209,107.55051039999998,10,50.7265625
sogbpush-your-luck_inst_mdp__01,868251,93.75451839999998,10,41.0
sogbpush-your-luck_inst_mdp__02,840852,83.3131496,10,46.0
sogbpush-your-luck_inst_mdp__03,823979,105.5205632,10,51.2
sogbpush-your-luck_inst_mdp__04,857015,104.72039520000001,10,44.4
sogbpush-your-luck_inst_mdp__05,847249,97.59836399999999,10,47.52734375
sogbpush-your-luck_inst_mdp__06,818579,143.5568496,10,364.0203125
sogbpush-your-luck_inst_mdp__07,853638,116.3864432,10,59.075
sogbpush-your-luck_inst_mdp__08,849290,126.57654319999999,10,57.646875
sogbpush-your-luck_inst_mdp__09,826825,100.8006368,10,2407.5859375
sogbpush-your-luck_inst_mdp__10,851412,115.3178312,10,44.425
sogbpush-your-luck_inst_mdp__11,849736,78.330572,10,68.20625
sogbpush-your-luck_inst_mdp__12,830392,119.02922319999998,10,1096.959375
sogbpush-your-luck_inst_mdp__13,852318,134.5380832,10,44.925
sogbpush-your-luck_inst_mdp__14,849093,104.36014400000002,10,60.765625
sogbpush-your-luck_inst_mdp__15,827564,118.69138960000002,10,1325.16796875
sogbpush-your-luck_inst_mdp__16,826643,91.674744,10,1604.1521484375
sogbpush-your-luck_inst_mdp__17,816561,125.40632560000002,10,1323.85087890625
sogbpush-your-luck_inst_mdp__18,817546,120.83055120000002,10,633.53828125
sogbpush-your-luck_inst_mdp__19,859843,89.13210480000001,10,32.9
sogbpush-your-luck_inst_mdp__20,858351,131.3322488,10,37.725
sogbred-finned-blue-eye_inst_mdp__01,584682,134.79048159999996,10,2524.0
sogbred-finned-blue-eye_inst_mdp__02,585317,141.1186488,10,1930.0
sogbred-finned-blue-eye_inst_mdp__03,588667,120.84665439999999,10,-2440.0
sogbred-finned-blue-eye_inst_mdp__04,584410,124.90538880000001,10,109.0
sogbred-finned-blue-eye_inst_mdp__05,585773,132.0689008,10,-2712.0
sogbred-finned-blue-eye_inst_mdp__06,786662,161.09807919999997,10,-2842.0
sogbred-finned-blue-eye_inst_mdp__07,780153,167.15995679999997,10,12648.0
sogbred-finned-blue-eye_inst_mdp__08,786484,174.80154720000002,10,-4068.0
sogbred-finned-blue-eye_inst_mdp__09,785843,163.76902,10,-1389.0
sogbred-finned-blue-eye_inst_mdp__10,783214,129.0548552,10,6395.0
sogbred-finned-blue-eye_inst_mdp__11,984905,212.4499944,10,2905.0
sogbred-finned-blue-eye_inst_mdp__12,985783,148.64852319999994,10,7196.0
sogbred-finned-blue-eye_inst_mdp__13,993921,184.6931136,10,5921.0
sogbred-finned-blue-eye_inst_mdp__14,985044,175.77825280000002,10,8265.0
sogbred-finned-blue-eye_inst_mdp__15,986468,182.6513112,10,5850.0
sogbred-finned-blue-eye_inst_mdp__16,1193203,228.4121392,10,16589.0
sogbred-finned-blue-eye_inst_mdp__17,1205011,236.29039199999997,10,18748.0
sogbred-finned-blue-eye_inst_mdp__18,1193144,229.5359944,10,2253.0
sogbred-finned-blue-eye_inst_mdp__19,1217241,198.36249360000005,10,2468.0
sogbred-finned-blue-eye_inst_mdp__20,1227173,219.25209519999999,10,-1583.0
sogbskill_teaching_inst_mdp__9,775652,119.52115279999998,10,-115.23228735999996
sogbskill_teaching_inst_mdp__8,775599,107.22750640000001,10,-171.06172980000002
sogbskill_teaching_inst_mdp__7,775534,97.3900272,10,11.44991338000002
sogbskill_teaching_inst_mdp__6,775411,111.34054719999999,10,-6.499535559999994
sogbskill_teaching_inst_mdp__5,775455,118.8838304,10,-0.9740440000000234
sogbskill_teaching_inst_mdp__4,775741,106.33964,10,109.53034225999997
sogbskill_teaching_inst_mdp__3,775921,123.33597280000001,10,121.41107388
sogbskill_teaching_inst_mdp__20,796010,195.2995408,10,-10794.6305876
sogbskill_teaching_inst_mdp__2,774975,101.7130632,10,75.70691874000003
sogbskill_teaching_inst_mdp__19,802281,211.271348,10,-10205.591212639998
sogbskill_teaching_inst_mdp__18,797614,172.90605599999998,10,-7323.800648940001
sogbskill_teaching_inst_mdp__17,779264,193.52756240000002,10,-6175.692129560001
sogbskill_teaching_inst_mdp__16,778462,218.3959504,10,-5256.41583964
sogbskill_teaching_inst_mdp__15,778108,165.2636656,10,-3209.8656418600003
sogbskill_teaching_inst_mdp__14,777797,153.94301520000002,10,-3897.6592100799994
sogbskill_teaching_inst_mdp__13,778587,184.4113456,10,-1416.36117796
sogbskill_teaching_inst_mdp__12,779090,167.2478656,10,-2375.3222288
sogbskill_teaching_inst_mdp__11,775791,122.75762719999997,10,-758.1832783999998
sogbskill_teaching_inst_mdp__10,776244,94.85537439999999,10,-78.06159638
sogbskill_teaching_inst_mdp__1,776149,92.22162240000002,10,72.45266946000004
sogbtamarisk_inst_mdp__1,777514,94.5008936,10,-254.2300000000001
sogbtamarisk_inst_mdp__10,811515,121.7874576,10,-1487.1450000000004
sogbtamarisk_inst_mdp__11,803203,103.4446056,10,-1348.5200000000004
sogbtamarisk_inst_mdp__12,882577,108.66723119999999,10,-2151.6449999999995
sogbtamarisk_inst_mdp__13,1011795,119.25575840000002,10,-2821.949999999998
sogbtamarisk_inst_mdp__14,1219061,118.75627519999998,10,-3194.573999999998
sogbtamarisk_inst_mdp__15,1414937,153.8392816,10,-3772.3109999999992
sogbtamarisk_inst_mdp__16,1959345,127.73287760000001,10,-4411.396
sogbtamarisk_inst_mdp__17,3082466,102.072632,10,-4749.873
sogbtamarisk_inst_mdp__18,3550163,63.251216,10,-4244.099
sogbtamarisk_inst_mdp__19,3596843,103.5372936,10,-4025.249
sogbtamarisk_inst_mdp__2,778125,103.41771119999999,10,-693.0610000000001
sogbtamarisk_inst_mdp__20,3644175,128.6812744,10,-3790.55
sogbtamarisk_inst_mdp__3,778745,131.37956719999997,10,-314.42700000000013
sogbtamarisk_inst_mdp__4,780662,122.64263680000002,10,-918.9700000000003
sogbtamarisk_inst_mdp__5,781164,120.42473199999999,10,-851.0450000000001
sogbtamarisk_inst_mdp__6,785960,121.55428000000002,10,-1132.1200000000003
sogbtamarisk_inst_mdp__7,788973,104.47887279999998,10,-981.195
sogbtamarisk_inst_mdp__8,795663,99.97232879999999,10,-1369.4950000000003
sogbtamarisk_inst_mdp__9,791724,105.4199024,10,-880.2450000000002
sogbtraffic_inst_mdp__01,776126,93.6764736,10,-6.2
sogbtraffic_inst_mdp__02,776064,114.03418079999999,10,-13.0
sogbtraffic_inst_mdp__03,777141,118.01080400000001,10,-12.8
sogbtraffic_inst_mdp__04,776787,128.5763704,10,-50.1
sogbtraffic_inst_mdp__05,778143,119.59489599999999,10,-41.6
sogbtraffic_inst_mdp__06,777989,129.48767279999998,10,-75.9
sogbtraffic_inst_mdp__07,781814,110.36130320000002,10,-49.6
sogbtraffic_inst_mdp__08,780291,116.24224,10,-64.1
sogbacademic-advising_inst_mdp__01,1057747,288.5853764800001,50,-48.8
sogbcooperative-recon_inst_mdp__10,982917,595.4115712,10,14.509
sogbcooperative-recon_inst_mdp__10,981031,244.539748,10,14.085999999999999
sogbcooperative-recon_inst_mdp__10,982675,248.39969360000003,10,14.972
sogbcooperative-recon_inst_mdp__10,980294,177.993596,10,12.584
sogbcooperative-recon_inst_mdp__10,980338,244.12674079999996,10,12.584
sogbred-finned-blue-eye_inst_mdp__01,149496,127.6953536,10,-2392.0
sogbred-finned-blue-eye_inst_mdp__02,149872,111.52501599999998,10,1830.0
sogbred-finned-blue-eye_inst_mdp__03,152434,127.60896240000002,10,-3845.0
sogbred-finned-blue-eye_inst_mdp__04,149100,116.25880479999998,10,-4457.0
sogbmanufacturer_inst_mdp__09,888019,173.04850453333333,30,2162.327947733333
sogbtraffic_inst_mdp__01,206203,86.07076959999999,10,-4.2
sogbskill_teaching_inst_mdp__12,1475596,214.64740533333335,75,-2427.3833313493333
sogbskill_teaching_inst_mdp__13,1474395,205.33725536000003,75,-1387.4577799786664
sogbskill_teaching_inst_mdp__14,1478785,210.08040746666666,75,-3760.2106990640004
sogbskill_teaching_inst_mdp__15,1480083,219.77051338666672,75,-3193.9496358239994
sogbskill_teaching_inst_mdp__16,1483916,241.3246557866667,75,-5111.7294413146665
sogbskill_teaching_inst_mdp__17,1497000,233.68105663999998,75,-5935.449571952004
sogbskill_teaching_inst_mdp__18,1616945,240.0542520533334,75,-7043.296183949336
sogbskill_teaching_inst_mdp__19,1621466,255.45805269333334,75,-10173.668289714667
sogbskill_teaching_inst_mdp__20,1621948,228.89673290666659,75,-10883.371392623998
sogbtamarisk_inst_mdp__1,1477708,151.09875914666662,75,-238.35506666666691
sogbtamarisk_inst_mdp__2,1484917,129.87383018666665,75,-623.8800000000006
sogbtamarisk_inst_mdp__3,1490238,150.89483434666667,75,-333.5773333333333
sogbtamarisk_inst_mdp__4,1502799,145.2742366933334,75,-906.8333333333343
sogbtamarisk_inst_mdp__5,1509583,154.21533055999996,75,-820.3966666666678
sogbtamarisk_inst_mdp__6,1532877,128.15723669333335,75,-1134.4466666666665
sogbtamarisk_inst_mdp__7,1536025,128.89582645333334,75,-915.9433333333343
sogbtamarisk_inst_mdp__8,1587809,140.9295793066667,75,-1336.1499999999992
sogbtamarisk_inst_mdp__9,1578562,138.02758090666669,75,-978.803333333334
sogbtamarisk_inst_mdp__10,1667319,126.92598229333336,75,-1406.7766666666655
sogbtamarisk_inst_mdp__11,1646450,134.09232896000003,75,-1325.1133333333325
sogbtamarisk_inst_mdp__12,2035162,128.3109984,75,-2209.0037333333325
sogbtamarisk_inst_mdp__13,3153775,132.97820469333328,75,-2899.503733333332
sogbtamarisk_inst_mdp__14,39486611,60.70639072000001,75,-1464.2022666666671
sogbtamarisk_inst_mdp__15,4000713,72.08109887999998,75,-2585.4650666666666
sogbtamarisk_inst_mdp__16,4007934,59.849252800000016,75,-2285.6361333333334
sogbtamarisk_inst_mdp__17,3973469,41.54086421333334,75,-2011.7930666666664
sogbtamarisk_inst_mdp__18,4037540,34.96465802666666,75,-1976.5863999999997
sogbtamarisk_inst_mdp__19,4038146,33.91220223999999,75,-1918.4398666666666
sogbtamarisk_inst_mdp__20,3991040,28.210774933333337,75,-1433.5865333333331
sogbtraffic_inst_mdp__01,1473609,134.40502496000002,75,-3.96
sogbtraffic_inst_mdp__02,1473276,130.62777162666669,75,-10.653333333333334
sogbtraffic_inst_mdp__03,1479647,128.40116362666666,75,-12.2
sogbtraffic_inst_mdp__04,1478691,136.8983115733334,75,-50.88
sogbtraffic_inst_mdp__05,1485755,130.78347775999995,75,-45.44
sogbtraffic_inst_mdp__06,1485826,131.27137376000002,75,-74.22666666666667
sogbtraffic_inst_mdp__07,1495739,131.24625343999992,75,-48.18666666666667
sogbtraffic_inst_mdp__08,1497689,144.09129856,75,-51.373333333333335
sogbtraffic_inst_mdp__09,1508785,126.06765461333336,75,-20.44
sogbtraffic_inst_mdp__10,1506981,133.3044125866667,75,-127.88
sogbtraffic_inst_mdp__11,1552079,127.14440245333336,75,-44.992170486844294
sogbtraffic_inst_mdp__12,1561175,137.85979168000003,75,-24.553270974616687
sogbtraffic_inst_mdp__13,1577351,122.36977589333338,75,-32.710767517663385
sogbtraffic_inst_mdp__14,1670483,136.8677732266667,75,-80.96031787160553
sogbtraffic_inst_mdp__15,1679096,128.40112223999998,75,-81.70404031329615
sogbtraffic_inst_mdp__16,1681811,127.20348832000003,75,-82.68307881272406
